URL,ID,Website,Images_IA
https://www.prlib.ru/item/335218,IstorijaNizhegorodskojierarhiisoderzhas44,254,254
https://www.prlib.ru/item/1709025,IstorijaOrdenasvjatagoIoannaIerusalimska15,364,364
https://www.prlib.ru/item/1709032,IstorijaOrdenasvjatagoIoannaIerusalimska26,420,420
https://www.prlib.ru/item/1709183,IstorijaOrdenasvjatagoIoannaIerusalimska29,358,358
https://www.prlib.ru/item/1709026,IstorijaOrdenasvjatagoIoannaIerusalimska43,366,366
https://www.prlib.ru/item/1709022,IstorijaOrdenasvjatagoIoannaIerusalimska52,276,276
https://www.prlib.ru/item/1287679,IstorijaOtechestvennojvojny1812godapodo69,686,686
https://www.prlib.ru/item/810584,IstorijaPetraVelikogo33,766,766
https://www.prlib.ru/item/335237,IstorijaPetraVelikogoT288,162,162
https://www.prlib.ru/item/335239,IstorijaPetraVelikogoT495,180,180
https://www.prlib.ru/item/1090817,IstorijaRossiisdrevnejshihvremenT224,554,554
https://www.prlib.ru/item/1090814,IstorijaRossiisdrevnejshihvremenT451,476,476
https://www.prlib.ru/item/714518,IstorijaRossijskagogosudarstva5,,1517
https://www.prlib.ru/item/416957,IstorijaSanktPeterburgskojduhovnojakade72,472,472
https://www.prlib.ru/item/416967,IstorijaSmutnogovremenivRossiivnachaleXV12,513,513
https://www.prlib.ru/item/416720,Istorijaartilleriioteeproishozhdenijado190,240,240
https://www.prlib.ru/item/417014,IstorijafilosofiiCh4695,444,444
https://www.prlib.ru/item/335155,IstorijagosudarstvaRossijskogoKn2t56,632,632
https://www.prlib.ru/item/417021,IstorijahristianstvavRossiidoravnoaposto57,446,446
https://www.prlib.ru/item/416788,IstorijailiPovestvovanieodonskihkozakah10,191,191
https://www.prlib.ru/item/818538,Istorijakratkajarossijskojtorgovli16,324,324
https://www.prlib.ru/item/335217,IstorijanashestvijaimperatoraNapoleonana71,453,453
https://www.prlib.ru/item/1324468,IstorijaoDonskomvojskesochinennajadirek52,330,330
https://www.prlib.ru/item/714284,IstorijaodnojknigiLiterarischeBilderau74,35,35
https://www.prlib.ru/item/960909,IstorijaonizverzheniiNapoleonaBonapartes32,328,328
https://www.prlib.ru/item/960911,IstorijaonizverzheniiNapoleonaBonapartes47,282,282
https://www.prlib.ru/item/960910,IstorijaonizverzheniiNapoleonaBonapartes6,280,280
https://www.prlib.ru/item/960906,IstorijaonizverzheniiNapoleonaBonapartes66,242,242
https://www.prlib.ru/item/960908,IstorijaonizverzheniiNapoleonaBonapartes78,320,320
https://www.prlib.ru/item/960907,IstorijaonizverzheniiNapoleonaBonapartes81,268,268
https://www.prlib.ru/item/416859,Istorijapoezii64,348,348
https://www.prlib.ru/item/416900,Istorijarossijskajaotdrevnejshihvremjan11,356,356
