year,title,link,DONE
1805,"Краткое историческое и хронологическое описание жизни и деяний великих князей российских, царей, императоров и их пресветлейших супруг и детей; их правления, силы и славы, различных войн и междуусобных раздоров до введения монархическаго самодержавия, бунтов и проч. от Р.Х. с 862 года до ныне благополучно царствующаго великаго государя императора Александра I. Самодержца Всероссийскаго,. Ч.1",https://www.prlib.ru/item/425596,0
1805,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 4, отд-ние 1. М-П",https://www.prlib.ru/item/1892358,1
1805,"Географический словарь Российскаго государства,. Ч.4, отд. 1: М-П",https://www.prlib.ru/item/406198,0
1805,A complete collection of Tables for Navigation and Nautical Astronomy,https://www.prlib.ru/item/1561686,0
1805,"Путешествие во внутренность Китая и в Татарию, учиненное в 1792м 1793м 1794м годах лордом Макартнеем посланником англинскаго короля при китайском императоре,. Ч. 4",https://www.prlib.ru/item/961627,0
1805,"Доклад Комитета для образования флота учрежденнаго, о устроении Адмиралтейств-коллегии с ея частями. [От 31 дек. 1804 г.].",https://www.prlib.ru/item/407660,0
1806,Метеорологические наблюдения. 1806-1812 гг.. Метеорологические наблюдения при Кронштадтском порте,https://www.prlib.ru/item/898150,0
1806,Притча. Орлы и скворцы.,https://www.prlib.ru/item/468778,0
1806,Придворный календарь .... Придворный месяцослов на лето от Рождества Христова 1807,https://www.prlib.ru/item/1338935,0
1806,"Слово на высокоторжественный день тезоименитства Его Императорского Величества, благочестивейшего Великого государя императора Александра I, сочиненное Феофилактом, Епископом Калужским и Боровским и Ордена Святой Анны I класса Кавалером",https://www.prlib.ru/item/366050,0
1806,Подвиги Суворова в Италии и Швейцарии. Ч. 2,https://www.prlib.ru/item/437743,1
1806,"Словарь Академии Российской, по азбучному порядку расположенный. Ч. 1. А - Д",https://www.prlib.ru/item/365948,0
1806,"Наблюдения, производившиеся при Академии наук",https://www.prlib.ru/item/903194,0
1806,Отчет министра внутренних дел за 1804 год.,https://www.prlib.ru/item/435432,0
1806,По случаю поручения команды фельдмаршалу графу Каменскому над армиями против французов.,https://www.prlib.ru/item/468519,0
1806,"Известие о взятии Дербента российско-императорскими войсками, воспоследовавшем 21 июня 1806 г.",https://www.prlib.ru/item/334129,0
1806,Подвиги Суворова в Италии и Швейцарии. Ч. 1,https://www.prlib.ru/item/437742,1
1806,Ежедневные наблюдения. Месячные и годовые выводы. 1806. Январь-декабрь. Метеорологические наблюдения учиненные при Императорской Санкт-Петербургской Академии наук,https://www.prlib.ru/item/887759,0
1806,Предсказание,https://www.prlib.ru/item/468737,0
1806,"Новый словотолкователь, расположенный по алфавиту, содержащий: разныя в российском языке встречающияся иностранныя речения и техническия термины ... напечатанный по Высочайшему Его Императорскаго Величества повелению. Ч. 3. [От О до Ф]",https://www.prlib.ru/item/351706,0
1807,"Атлас Российской Империи по новейшему разделению на губернии и области, сочиненный при Главном училищ правлении для употребления в губернских гимназиях",https://www.prlib.ru/item/397247,1
1807,"Новейшая география Российской империи,. Ч. 2",https://www.prlib.ru/item/429133,1
1807,Парение венценоснаго гения с полуночных пределов России к западным марта 15 дня 1807 года,https://www.prlib.ru/item/713513,0
1807,"Критическия разъискания о древних руских монетах, изданныя Императорскою Академиею наук",https://www.prlib.ru/item/1333252,0
1807,"Новейшая география Российской империи,. Ч. 3",https://www.prlib.ru/item/429134,1
1807,"Анекдоты, касающиеся до государя императора Петра Великаго,",https://www.prlib.ru/item/1089937,0
1807,"Краткое землеописание Российскаго государства в нынешнем его состоянии,",https://www.prlib.ru/item/425591,1
1807,"Географический словарь Российскаго государства,. Ч.5: Р-С",https://www.prlib.ru/item/406199,1
1807,"Указы государя императора Александра Первого, самодержца всероссийского, напечатанные в январе месяце 1806 года",https://www.prlib.ru/item/459719,0
1807,"Новейшее землеописание Российской империи,. Ч. 1. Разделенная на три главы, в коих описываются пределы, величина, воды, качество земли, произведения и жители государства по их поколениям, языкам, вероисповеданиям и упражнениям",https://www.prlib.ru/item/429138,1
1807,"Географический словарь Российскаго государства, сочиненный в настоящем онаго виде. Ч. 5. Р-С",https://www.prlib.ru/item/1892359,0
1807,"Новейшее землеописание Российской империи,. Ч. 2. Содержащая четвертую и последнюю главу, в коей описывается разделение государства на части",https://www.prlib.ru/item/429139,1
1807,Основания российской словесности. Ч. 1. Грамматика,https://www.prlib.ru/item/355331,1
1807,Мысли вслух на Красном крыльце.,https://www.prlib.ru/item/468197,0
1807,"Слово на всерадостнейший день вступления на всероссийский престол Его Величества, благочестивейшего государя Императора Александра Павловича, самодержца всероссийского, говоренное Казанской академии ректором и кавалером Антонием, архимандритом Спасо-Преображенским, в Санкт-Петербургском Исакиевском соборе, марта 12 дня 1807 года",https://www.prlib.ru/item/366047,0
1807,Критическия разъискания о древних руских монетах,https://www.prlib.ru/item/715086,0
1807,Ежедневные наблюдения. Месячные и годовые выводы. 1807. Январь-декабрь. Метеорологические наблюдения учиненные при Императорской Санкт-Петербургской Академии наук,https://www.prlib.ru/item/887760,0
1807,Отчет министра внутренних дел за 1805 год.,https://www.prlib.ru/item/435433,0
1807,Торжествующий Петроград в день рождения ея императорскаго высочества государыни великия княжны Елисаветы Александровны ноября 3 дня 1806 года,https://www.prlib.ru/item/713499,0
1807,"Краткое историческое и хронологическое описание жизни и деяний великих князей российских, царей, императоров и их пресветлейших супруг и детей; их правления, силы и славы, различных войн и междуусобных раздоров до введения монархическаго самодержавия, бунтов и проч. от Р.Х. с 862 года до ныне благополучно царствующаго великаго государя императора Александра I. Самодержца Всероссийскаго,. Ч.2",https://www.prlib.ru/item/425597,1
1807,Выписка. Из рапорта господину инспектору всей артиллерии генералу и кавалеру графу Аракчееву от учрежденнаго для разсмотрения гарнизонной артиллерии Временнаго артиллерийскаго комитета касательно новых картечей,https://www.prlib.ru/item/713033,0
1807,"Речь о том, сколь щастливы народы, находящиеся под скипетром Александра I на всерадостнейший день тезоименитства Его Императорскаго Величества Александра I, сочиненная на немецком языке основателем Московской практической коммерческой академии Карлом Иоганном Арнольдом и переведенная на российской язык в оной же Коммерческой академии. 1807 года августа 30 дня",https://www.prlib.ru/item/442037,0
1807,Мысли вслух на Красном крыльце.,https://www.prlib.ru/item/428338,0
1807,The costume of the Russian army,https://www.prlib.ru/item/1526156,1
1807,"Статистическая таблица Всероссийской империи, или Физическое, политическое статистическое начертание России, с XIX ть столетия, из новейших писателей извлеченное",https://www.prlib.ru/item/453899,1
1808,"?Bei ?dem Absterben Zacharias von Burinsky, magisters der Philosophie, den Freunden des Verstorbenen",https://www.prlib.ru/item/710994,0
1808,Статистическое описание Ярославской губернии,https://www.prlib.ru/item/372263,0
