Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
1935,"Альбом схематических карт районов СССР на весну 1935 года. – М., 1935.",http://elib.shpl.ru/ru/nodes/100750-albom-shematicheskih-kart-rayonov-sssr-na-vesnu-1935-goda-locale-nil-m-1935,1,"Альбом схематических карт районов СССР на весну 1935 года / Нар. комиссариат земледелия СССР, Учетно-стат. отд. – М.: Союзоргучет, 1935. – [4] с., [56] л. карт.; 30х39 см. – Содерж.: Схем. карты и списки районов к ним  .","карта (2938)  книжное издание, архивный документ",,,Альбом схематических карт районов СССР на весну 1935 года,124,"5847656, 5847657, 5847658, 5847659, 5847660, 5847661, 5847662, 5847663, 5847664, 5847665, 5847666, 5847667, 5847668, 5847669, 5847670, 5847671, 5847672, 5847673, 5847674, 5847675, 5847676, 5847677, 5847678, 5847679, 5847680, 5847681, 5847682, 5847683, 5847684, 5847685, 5847686, 5847687, 5847688, 5847689, 5847690, 5847691, 5847692, 5847693, 5847694, 5847695, 5847696, 5847697, 5847698, 5847699, 5847700, 5847701, 5847702, 5847703, 5847704, 5847705, 5847706, 5847707, 5847708, 5847709, 5847710, 5847711, 5847712, 5847713, 5847714, 5847715, 5847716, 5847717, 5847718, 5847719, 5847720, 5847721, 5847722, 5847723, 5847724, 5847725, 5847726, 5847727, 5847728, 5847729, 5847730, 5847731, 5847732, 5847733, 5847734, 5847735, 5847736, 5847737, 5847738, 5847739, 5847740, 5847741, 5847742, 5847743, 5847744, 5847745, 5847746, 5847747, 5847748, 5847749, 5847750, 5847751, 5847752, 5847753, 5847754, 5847755, 5847756, 5847757, 5847758, 5847759, 5847760, 5847761, 5847762, 5847763, 5847764, 5847765, 5847766, 5847767, 5847768, 5847769, 5847770, 5847771, 5847772, 5847773, 5847774, 5847775, 5847776, 5847777, 5847778, 5847779"
,Альминское сражение 8-20 сентября 1854 г.,http://elib.shpl.ru/ru/nodes/81990-alminskoe-srazhenie-8-20-sentyabrya-1854-g,1,,карта,,,,1,4920320
,Американская запретная зона,http://elib.shpl.ru/ru/nodes/89478-amerikanskaya-zapretnaya-zona,1,,карта,,,,1,5260520
,Англия и Франция в XII веке,http://elib.shpl.ru/ru/nodes/12399-angliya-i-frantsiya-v-xii-veke,1,,карта,,,,1,1331148
,Анкона,http://elib.shpl.ru/ru/nodes/81986-ankona,1,,карта,,,,1,4920246
,Ардаган,http://elib.shpl.ru/ru/nodes/75856-ardagan,1,,карта,,,,1,4624055
,Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/670-ardatov-nizhegorodskogo-namestnichestva,1,,карта,,,,1,213801
,Ардатов Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/671-ardatov-nizhegorodskogo-namestnichestva,1,,карта,,,,1,213802
,Ардатов Симбирской губернии,http://elib.shpl.ru/ru/nodes/788-ardatov-simbirskoy-gubernii,1,,карта,,,,1,215620
,Арзамас Нижегородского Наместничества,http://elib.shpl.ru/ru/nodes/672-arzamas-nizhegorodskogo-namestnichestva,1,,карта,,,,1,213803
,Артиллерийское и продфуражное снабжение и этапная служба 8 армии к началу операции в мае 1916 г.,http://elib.shpl.ru/ru/nodes/63209-artilleriyskoe-i-prodfurazhnoe-snabzhenie-i-etapnaya-sluzhba-8-armii-k-nachalu-operatsii-v-mae-1916-g,1,,карта,,,,1,4013700
,Архангельск,http://elib.shpl.ru/ru/nodes/255-arhangelsk,1,,карта,,,,1,87320
,Архангельск Вологодского Наместничества,http://elib.shpl.ru/ru/nodes/474-arhangelsk-vologodskogo-namestnichestva,1,,карта,,,,1,198032
