title,url
Бой на Доггер-банке 24 января 1915 г.,http://elib.shpl.ru/ru/nodes/55070-boy-na-dogger-banke-24-yanvarya-1915-g
Бой на Доггер-банке 24 января 1915 г.,http://elib.shpl.ru/ru/nodes/55135-boy-na-dogger-banke-24-yanvarya-1915-g
Бой на р. Черной,http://elib.shpl.ru/ru/nodes/55627-boy-na-r-chernoy
Бой на р. Черной,http://elib.shpl.ru/ru/nodes/55628-boy-na-r-chernoy
"Бой передовых частей 10-й армии и бригады 4 к. д. 1-й конной, 14.02.1920",http://elib.shpl.ru/ru/nodes/58420-boy-peredovyh-chastey-10-y-armii-i-brigady-4-k-d-1-y-konnoy-14-02-1920
Бой под Брезинами 21 ноября 1914 г.,http://elib.shpl.ru/ru/nodes/64714-boy-pod-brezinami-21-noyabrya-1914-g
Бой под Бугульмой 5 августа 1918 г.,http://elib.shpl.ru/ru/nodes/74586-boy-pod-bugulmoy-5-avgusta-1918-g
Бой под д. Касково 6-7 ноября 1919 г.,http://elib.shpl.ru/ru/nodes/64697-boy-pod-d-kaskovo-6-7-noyabrya-1919-g
Бой под Инкоу 30 декабря 1904 г.,http://elib.shpl.ru/ru/nodes/83334-boy-pod-inkou-30-dekabrya-1904-g
Бой под Ловчей 22 августа 1877 г.,http://elib.shpl.ru/ru/nodes/75879-boy-pod-lovchey-22-avgusta-1877-g
Бой под Ловчей 22 августа-3 сентября 1877 года,http://elib.shpl.ru/ru/nodes/55730-boy-pod-lovchey-22-avgusta-3-sentyabrya-1877-goda
Бой при Баклаве 13-25 октября 1854 г.,http://elib.shpl.ru/ru/nodes/55591-boy-pri-baklave-13-25-oktyabrya-1854-g
Бой при д. Лесной 28 сентября 1708 г.,http://elib.shpl.ru/ru/nodes/75917-boy-pri-d-lesnoy-28-sentyabrya-1708-g
Бой при Миссунде 2 февраля 1864 г.,http://elib.shpl.ru/ru/nodes/55600-boy-pri-missunde-2-fevralya-1864-g
Бой при Монтебелло 20 мая 1859 г.,http://elib.shpl.ru/ru/nodes/55669-boy-pri-montebello-20-maya-1859-g
Бой при Нуре 10 мая 1831 г.,http://elib.shpl.ru/ru/nodes/75567-boy-pri-nure-10-maya-1831-g
Бой при Пейцане (24 июля) и при Янцзуне (25 июля),http://elib.shpl.ru/ru/nodes/59251-boy-pri-peytsane-24-iyulya-i-pri-yantszune-25-iyulya
Бой при Полестро 31 мая 1859 г.,http://elib.shpl.ru/ru/nodes/55726-boy-pri-polestro-31-maya-1859-g
Бой при Скалице 28 июня 1866 года,http://elib.shpl.ru/ru/nodes/55557-boy-pri-skalitse-28-iyunya-1866-goda
Бой при Швейншеделе 29 июня 1866 г.,http://elib.shpl.ru/ru/nodes/55703-boy-pri-shveynshedele-29-iyunya-1866-g
Бой с генералом Левенгоуптом,http://elib.shpl.ru/ru/nodes/83943-boy-s-generalom-levengouptom
Бой у Атаман-Егорлыкской 1.3.1920,http://elib.shpl.ru/ru/nodes/58436-boy-u-ataman-egorlykskoy-1-3-1920
Бой у Гельголанда 28 августа 1914 г.,http://elib.shpl.ru/ru/nodes/55109-boy-u-gelgolanda-28-avgusta-1914-g
Бой у Гичина 29 июня 1866 г.,http://elib.shpl.ru/ru/nodes/55602-boy-u-gichina-29-iyunya-1866-g
Бой у Горного Дубняка,http://elib.shpl.ru/ru/nodes/75850-boy-u-gornogo-dubnyaka
