year,title,link
1871,Елагинский маяк. 1873. Кн. 1. Метеорологический журнал по предложению морской конференции в Брюсселе веденный на Елагинс. маяке Российского Императорского флота,https://www.prlib.ru/item/888056
1871,Журналы с докладами и другими приложениями Борисоглебского уездного земского собрания .... сентябрьской сессии 1870 года,https://www.prlib.ru/item/409936
1871,"Вологодские губернские ведомости. 1871, № 24 [5 июня]",https://www.prlib.ru/item/326591
1871,Краткий отчет Императорского Новороссийского университета .... в 1870-71 акад. г.,https://www.prlib.ru/item/425531
1871,"Вологодские губернские ведомости. 1871, № 12 [13 марта]",https://www.prlib.ru/item/326578
1871,Журналы Угличского уездного земского собрания .... 1870 года,https://www.prlib.ru/item/410269
1871,Ежегодник русской армии за …. Ч. 1,https://www.prlib.ru/item/408231
1871,Журналы Ливенского уездного земского собрания .... 5-го очередного... 1870 года,https://www.prlib.ru/item/677891
1871,"Вологодские губернские ведомости. 1871, № 41 [2 окт.]",https://www.prlib.ru/item/326610
1871,Журналы ... Тульского губернского земского собрания .... VII очередного ... в ноябре месяце 1871 года,https://www.prlib.ru/item/408969
1871,"Постановления заседаний... Евпаторийского уездного земского собрания.... созыва 1870 года.... созыва 1870 года, с приложением докладов Уездной земской управы",https://www.prlib.ru/item/713941
1871,"Иркутские губернские ведомости. 1875, № 20",https://www.prlib.ru/item/413939
1871,Журналы Александровского уездного земского собрания .... очередной сессии с 26 сентября по 3 октября 1870 года,https://www.prlib.ru/item/714652
1871,Очерк состояния православной церкви в Юго-Западной России по актам (1650-1798),https://www.prlib.ru/item/903463
1871,"Вологодские губернские ведомости. 1871, № 43 [16 окт.]",https://www.prlib.ru/item/326612
1871,"Вологодские губернские ведомости. 1871, № 15 [3 апр.]",https://www.prlib.ru/item/326581
1871,Уголовные процессы,https://www.prlib.ru/item/459627
1871,Семья и школа. [Г. 1]. 1871. № 4. Апрель,https://www.prlib.ru/item/1053679
1871,Семья и школа. [Г. 1]. 1871. № 1. Январь,https://www.prlib.ru/item/1053663
1871,"Постановления о военно-врачебных заведениях Свода военных постановлений, издания 1869 г., кн. 16",https://www.prlib.ru/item/903583
1871,"Иркутские губернские ведомости. 1871, № 3",https://www.prlib.ru/item/416214
1871,Постановления Весьегонского уездного земского собрания .... очередного... за 1870 год,https://www.prlib.ru/item/713618
1871,"Древняя русская история до монгольского ига. Т. 2. Обозрение составных частей государства и отношений их между собой, в продолжение удельного периода",https://www.prlib.ru/item/732482
1871,Обучение грамоте по звуковому способу в связи с предметными уроками и первоначальными упражнениями в родном языке,https://www.prlib.ru/item/1290182
1871,"Морской сборник. Т. 117, № 11",https://www.prlib.ru/item/735378
1871,История Наполеона I. Т. 3,https://www.prlib.ru/item/1090081
1871,Елагинский маяк. 1873. Кн. 2. Метеорологический журнал по предложению морской конференции в Брюсселе веденный на Елагин. маяке Российского Императорского флота,https://www.prlib.ru/item/898154
1871,Литературные семейные вечера. Г. 8. 1871. [№ 2]. Февраль,https://www.prlib.ru/item/1085990
1871,Присяжный поверенный,https://www.prlib.ru/item/360907
1871,"Иркутские губернские ведомости. 1875, № 17",https://www.prlib.ru/item/413935
1871,Журналы Смоленского губернского земского собрания .... 6-го очередного... с 26 ноября по 9 декабря 1870 года,https://www.prlib.ru/item/410059
1871,Литературные семейные вечера. Г. 8. 1871. [№ 6]. Июнь,https://www.prlib.ru/item/1084141
1871,"Бумаги Флорентийского центрального архива, касающиеся до России. Ч. 1",https://www.prlib.ru/item/717252
1871,История России с древнейших времен. Т. 21. История России в царствование императрицы Елизаветы Петровны,https://www.prlib.ru/item/959866
1871,"Семейные вечера. Г. 8 1871, № 1",https://www.prlib.ru/item/1085125
1871,Сочинения Н.А. Добролюбова. Т. 4,https://www.prlib.ru/item/1291753
1871,Журналы Орловского губернского земского собрания .... 3-го чрезвычайного ... с 27 по 30 мая 1871 года,https://www.prlib.ru/item/409748
1871,"Краткое объяснение устройства храма и утвари церковной, как принадлежностей богослужения с приложением кратких сведений о священно и церковнослужителях и богослужебных книгах",https://www.prlib.ru/item/425612
1871,Семья и школа. [Г. 1.]. 1871. № 5. Май,https://www.prlib.ru/item/1053680
