year,title,link,pages
1901,"Вестник Европы. Г. 36 1901, т. 4, [кн. 7/8, июль/август]",https://www.prlib.ru/item/323542,890
1901,"Тамбовские губернские ведомости. 1901, № 20 (22 февраля)",https://www.prlib.ru/item/704194,-1
1901,"Юридическая газета. 1901, № 62 (13 сентября)",https://www.prlib.ru/item/964987,-1
1901,"Судебная газета. 1901, № 5 (4 февраля)",https://www.prlib.ru/item/692772,-1
1901,Устав реальных училищ ведомства Министерства народного просвещения,https://www.prlib.ru/item/460050,36
1901,Тобольские епархиальные ведомости. №11,https://www.prlib.ru/item/457302,-1
1901,"Полный словарь польского и русского языка, составленный П. П. Дубровским, членом-корреспондентом Императорской Академии наук",https://www.prlib.ru/item/798147,886
1901,Юридическое положение Финляндии,https://www.prlib.ru/item/464033,148
1901,Первая Всеобщая перепись населения Российской империи 1897 г.. 25. Нижегородская губерния,https://www.prlib.ru/item/436650,152
1901,"Иркутские губернские ведомости. 1901, № 200 (13 сент.)",https://www.prlib.ru/item/414805,-1
1901,"Священной памяти императора Александра I благословенного, 1801-1901 гг.",https://www.prlib.ru/item/443385,31
1901,Нравственное богословие в России в течение XIX столетия,https://www.prlib.ru/item/429262,355
1901,"Тамбовские губернские ведомости. 1901, № 3 (9 января)",https://www.prlib.ru/item/704216,-1
1901,"Тамбовские губернские ведомости. 1901, № 75 (24 июля)",https://www.prlib.ru/item/704919,-1
1901,Обзор Тульской губернии .... ... за 1900 год,https://www.prlib.ru/item/1024490,97
1901,Отчет Саранской уездной земской управы.... за 1900 год,https://www.prlib.ru/item/714422,151
1901,Тобольские епархиальные ведомости. №6,https://www.prlib.ru/item/457482,-1
1901,"Вестник права. Г. 31 1901, № 6 (июнь)",https://www.prlib.ru/item/323921,-1
1901,Краткий исторический очерк Гродненской губернии за сто лет ее существования. 1802-1902,https://www.prlib.ru/item/425509,106
1901,"Церковные ведомости, издаваемые при Святейшем правительствующем Синоде. Г. 14 1901, № 25 (23 июня)",https://www.prlib.ru/item/461184,-1
1901,"История уделов за столетие их существования. 1797-1897. Т. 2. Крестьяне дворцовые, государевы и удельные",https://www.prlib.ru/item/732182,-1
1901,Журналы Ливенского уездного земского собрания .... XXXV очередного ... [1900 года],https://www.prlib.ru/item/408957,180
1901,"Вестник Европы. Г. 36 1901, т. 6, [кн. 11/12, ноябрь/декабрь]",https://www.prlib.ru/item/323544,938
1901,"Церковные ведомости, издаваемые при Святейшем правительствующем Синоде. Г. 14 1901, № 19 (12 мая)",https://www.prlib.ru/item/461177,-1
1901,Журналы Городнянского уездного земского собрания.... очередного... XXXVI сессии 1900 года,https://www.prlib.ru/item/707757,401
1901,"Тамбовские губернские ведомости. 1901, № 114 (8 ноября)",https://www.prlib.ru/item/705414,-1
1901,Литовский канцлер Лев Сапега о событиях Смутного времени,https://www.prlib.ru/item/342803,24
1901,О преобразовании средних учебных заведений,https://www.prlib.ru/item/353442,26
1901,Борьба с Китаем,https://www.prlib.ru/item/399454,127
1901,"Тамбовские губернские ведомости. 1901, № 37 (12 апреля)",https://www.prlib.ru/item/704454,-1
1901,"Тамбовские губернские ведомости. 1901, № 88 (28 августа)",https://www.prlib.ru/item/705476,-1
1901,"Тамбовские губернские ведомости. 1901, № 71 (14 июля)",https://www.prlib.ru/item/704909,-1
1901,Записки Императорского Новороссийского университета. Т. 85 1901,https://www.prlib.ru/item/333504,608
1901,"Юридическая газета. 1901, № 16 (1 марта)",https://www.prlib.ru/item/891660,-1
1901,"Иркутские губернские ведомости. 1901, № 204 (19 сент.)",https://www.prlib.ru/item/414809,-1
1901,Вопрос об организации студенчества университетов,https://www.prlib.ru/item/404546,27
1901,"Тамбовские губернские ведомости. 1901, № 12 (30 января)",https://www.prlib.ru/item/704176,-1
1901,19-е февраля,https://www.prlib.ru/item/713793,13
1901,"Вестник права. Г. 31 1901, № 7 (сент.)",https://www.prlib.ru/item/323927,-1
1901,Присоединение к православно-христианской церкви мусульманина-шиита (перса),https://www.prlib.ru/item/439506,9
1901,Кавказский календарь .... на 1902 год,https://www.prlib.ru/item/417308,919
1901,"Церковные ведомости, издаваемые при Святейшем правительствующем Синоде. Г. 14 1901, № 21 (26 мая)",https://www.prlib.ru/item/461180,-1
1901,"Журнал Министерства народного просвещения. Ч. 333, январь 1901",https://www.prlib.ru/item/761154,418
1901,"Журнал Министерства народного просвещения. Ч. 336, август 1901",https://www.prlib.ru/item/764319,452
1901,Обзор деятельности Министерства императорского двора и уделов за время царствования в бозе почившего государя императора Александра III. (1881-1894 гг.). Ч. 2. Главное управление уделов,https://www.prlib.ru/item/732411,362
1901,Сочинения императрицы Екатерины II на основании подлинных рукописей и с объяснительными примечаниями академика А.Н. Пыпина. Т. 3. Драматические сочинения,https://www.prlib.ru/item/1291755,474
1901,"Иркутские губернские ведомости. 1901, № 232 (25 окт.)",https://www.prlib.ru/item/414837,-1
1901,"Русская старина. Г. 32 1901, Т. 108, кн. 11, ноябрь",https://www.prlib.ru/item/362548,270
1901,"Тамбовские губернские ведомости. 1901, № 10 (25 января)",https://www.prlib.ru/item/704172,-1
1901,"Иркутские губернские ведомости. 1901, № 236 (30 окт.)",https://www.prlib.ru/item/414841,-1
1901,Вновь найденная Двинская грамота,https://www.prlib.ru/item/324501,10
1901,Труды Я. К. Грота. Т. 4. Из русской истории,https://www.prlib.ru/item/376002,781
1901,Звездный атлас для небесных наблюдений,https://www.prlib.ru/item/333680,376
1901,Историческое описание одежды и вооружения Российских войск. Ч. 17,https://www.prlib.ru/item/416666,160
